Параметр	Значение	Комментарий
Роль	senior .NET + MS SQL	анализ+dev+тесты+ревью+UAT+релиз в оценке
Единица	человеко-день	1 чел.-день ≈ 6–7 ч чистой работы
FTE справочно	220 чел.-дней / год	колонки FTE_*_12мес
Scope	A — полная трудоёмкость	сделанное (ретро) + остаток
WBS	backlog.md, ids {MVP}.{пакет}.{пункт}	не путать с reference.md §6.9
Agent stack	Cursor: strong models (arch/framework) + fast (тираж); senior review	
RO simple	3.5 / 1.0	Низкая (реестр)
RO typical	5.0 / 1.5	Средняя
RO complex	8.0 / 2.5	Высокая
RO hardest (пилот)	12+framework feedback	Rates; уже в MVP 0.1
Editor typical (~10 rules)	6.0 / 2.0	Низкая+Средняя
Editor complex (~100 rules)	22.0 / 11.0	Высокая (Rates, TransportRoute)
Loader typical	2.5 / 0.8	reuse валидаторов
Loader complex	7.0 / 3.0	Высокая
Объёмы	63 RO = 20 только RO + 5 RO+E + 38 RO+E+L; редакторы 43; загрузчики 38	catalogs-scope.md
0.7 запись	39 редакторов / 36 загрузчиков на 6 доменах; новые работы 38 E / 35 L	−пилот TransportLegs
0.8 запись	4 редактора / 2 загрузчика	Вспомогательные
Человек с ИИ	MVP 0.0=25; MVP 0.1=60; иначе —	вариант A
Skills без агента	0	время на skills только в колонке «с агентом»
Gate A/B/C	чел.-дни сопровождения, не календарь ОПЭ	критический путь — текст backlog.md
Факт по коду: сделано	Host/Platform/Sync + 5 RO + skill RO + tests; Import stub; прод dual-run 0.1	
Факт по коду: не сделано	полный тираж RO, роли, write-CQRS, целевые loaders, отчёты вне RO, заявки, аудит, дашборды, оркестрация, CI SCA	
